Date & Time,Index 1,Index 2,Index 3,Index 4,Index 5,Open Price,High Price,Low Price,Close Price,VA1,VA2,VA3,VA4,VA5,EST,TVA1,TVA2,TVA3,TVA4,ROC1,ROC2,ROC3,ROC4
2020.04.09 04:00,4.11,0,0,95.36,1.38,0.97095,0.97213,0.97064,0.97186,60.26,0,0,561.17,61.24,21:00,107.08,-37.26,-179.57,682.66,26.77,-9.32,-44.89,170.67
2020.04.09 05:00,61.91,33.68,0,5.27,0,0.97186,0.97238,0.97169,0.97174,10295.18,6743.93,0,966.53,0,22:00,4680.52,9074.82,13425.29,18005.64,1170.13,2268.7,3356.32,4501.41
2020.04.09 06:00,41.43,59.43,0,0,0,0.97173,0.97235,0.9712,0.97145,3629.42,7865.45,0,0,0,23:00,4270.1,7798.65,9671.4,11494.87,1067.53,1949.66,2417.85,2873.72
2020.04.09 07:00,24.37,7.51,0,68.96,0,0.97145,0.97166,0.97114,0.97142,-301.11,-117.96,0,-1143.45,0,0:00,-356.78,-733.33,-1050.87,-1562.52,-89.2,-183.33,-262.72,-390.63
2020.04.09 08:00,36.68,19.68,0,44.49,0,0.97142,0.97212,0.97124,0.97199,1116.64,621.21,0,-632.99,0,1:00,-412.43,-740.58,-1046.28,1104.86,-103.11,-185.15,-261.57,276.21
2020.04.09 09:00,3.38,0,19.33,0,78.13,0.97199,0.9733,0.97166,0.97181,345.93,0,3146.09,0,28796.4,2:00,9718.44,19319.68,27056.28,32288.42,2429.61,4829.92,6764.07,8072.1
2020.04.09 10:00,12.62,44.46,36.01,7.76,0,0.97181,0.97213,0.9703,0.97066,-2986.02,-2224.91,-1213.7,-1077.86,0,3:00,-405.01,-1358.37,-2329.05,-7502.49,-101.25,-339.59,-582.26,-1875.62
2020.04.09 11:00,32.26,0,16.29,52.31,0,0.97065,0.97107,0.97027,0.97094,-8977.62,0,-4759.27,-12318.82,0,4:00,-6479.59,-12551.98,-19720.11,-26055.71,-1619.9,-3137.99,-4930.03,-6513.93
2020.04.09 12:00,7.46,2.71,58.24,32.46,0,0.97094,0.97104,0.96937,0.96944,-1807.07,-262,-20646.77,-6860.54,0,5:00,-4903.08,-11582.43,-19915.62,-29576.38,-1225.77,-2895.61,-4978.9,-7394.1
2020.04.09 13:00,4.89,14.92,63.34,17.7,0,0.96946,0.9718,0.96922,0.97146,11.69,-61.71,-23906.57,-612.58,0,6:00,-8337.42,-19172.16,-24566.47,-24569.16,-2084.36,-4793.04,-6141.62,-6142.29
2020.04.09 14:00,65.97,19.17,0,13.5,2.22,0.97147,0.9723,0.97117,0.97195,630.73,-279.2,0,1073.79,38.23,7:00,-361.44,-662.6,361.07,1463.56,-90.36,-165.65,90.27,365.89
2020.04.09 15:00,33.77,40.6,15.04,11.43,0,0.97195,0.97196,0.9683,0.96878,-1445.57,315.29,-3669.5,-80.49,0,8:00,1144.36,718.36,209.67,-4880.28,286.09,179.59,52.42,-1220.07
2020.04.09 16:00,0,0,100.85,0,0,0.96881,0.96953,0.96652,0.96758,0,0,-42015.21,0,0,9:00,-10290.26,-22817.71,-33245.83,-42015.21,-2572.57,-5704.43,-8311.46,-10503.8
2020.04.09 17:00,0,0,100.85,0,0,0.96759,0.96859,0.96534,0.96584,0,0,-41659.92,0,0,10:00,-8431.28,-19172.9,-29862.61,-41659.92,-2107.82,-4793.23,-7465.65,-10414.98
2020.04.09 18:00,0,0,100.85,0,0,0.96583,0.96693,0.96494,0.966,0,0,-47807.06,0,0,11:00,-10931.77,-24300.73,-35040.23,-47807.06,-2732.94,-6075.18,-8760.06,-11951.76
2020.04.09 19:00,0,0,100.85,0,0,0.96599,0.96697,0.96559,0.96623,0,0,-32583.49,0,0,12:00,-9889.92,-18467.23,-24884.41,-32583.49,-2472.48,-4616.81,-6221.1,-8145.87
2020.04.09 20:00,0,0,100.85,0,0,0.96625,0.9664,0.96475,0.965,0,0,-54877.51,0,0,13:00,-11821.75,-25044.17,-40167.1,-54877.51,-2955.44,-6261.04,-10041.77,-13719.38
2020.04.09 21:00,0,0,100.85,0,0,0.965,0.96694,0.96498,0.96673,0,0,-45412.45,0,0,14:00,-12143.34,-24710.01,-36866.47,-45412.45,-3035.84,-6177.5,-9216.62,-11353.11
2020.04.09 22:00,0,0,100.85,0,0,0.96674,0.96678,0.96571,0.96572,0,0,-18445.36,0,0,15:00,-3770.13,-8491.55,-13188.51,-18445.36,-942.53,-2122.89,-3297.13,-4611.34
2020.04.09 23:00,0,0,100.85,0,0,0.96574,0.96667,0.96555,0.96599,0,0,-28355.43,0,0,16:00,-8238.59,-15271.79,-21293.86,-28355.43,-2059.65,-3817.95,-5323.47,-7088.86
2020.04.10 00:00,0,0,100.85,0,0,0.96588,0.96675,0.96542,0.9659,0,0,-29540.1,0,0,17:00,-7925.66,-14986.87,-21999.63,-29540.1,-1981.41,-3746.72,-5499.91,-7385.02
2020.04.10 01:00,0,0,100.85,0,0,0.96592,0.96639,0.96564,0.96613,0,0,-28701.55,0,0,18:00,-7360.28,-14835.57,-22293.16,-28701.55,-1840.07,-3708.89,-5573.29,-7175.39
2020.04.10 02:00,0,8.9,91.95,0,0,0.96651,0.96728,0.96624,0.96667,0,-881.71,-14437.77,0,0,19:00,-4167.33,-8350.74,-12117.64,-15319.48,-1041.83,-2087.68,-3029.41,-3829.87
2020.04.10 03:00,0,35.44,65.41,0,0,0.96672,0.96745,0.96644,0.96687,0,-3128.65,-7975.62,0,0,20:00,-2476.19,-4859.53,-8302.03,-11104.27,-619.05,-1214.88,-2075.51,-2776.07
2020.04.10 04:00,76.62,3.56,20.67,0,0,0.96687,0.96704,0.96624,0.96624,-9796.11,-128.02,-1882.28,0,0,21:00,-2358.94,-5422.79,-8311.38,-11806.41,-589.74,-1355.7,-2077.84,-2951.6
2020.04.10 05:00,29.66,0,42.91,0,28.29,0.96624,0.96651,0.96556,0.96565,-4714.34,0,-7817.53,0,-3590.11,22:00,-3232.9,-7290.44,-11433.94,-16121.98,-808.23,-1822.61,-2858.49,-4030.49
2020.04.10 06:00,0,0,100.85,0,0,0.96565,0.96578,0.96521,0.96526,0,0,-28057.75,0,0,23:00,-6378.22,-13349.01,-20574.91,-28057.75,-1594.56,-3337.25,-5143.73,-7014.44
2020.04.10 07:00,3.54,0,97.31,0,0,0.96528,0.96601,0.96492,0.96562,-140.72,0,-33654.88,0,0,0:00,-8644.53,-17769.25,-26268.53,-33795.6,-2161.13,-4442.31,-6567.13,-8448.9
2020.04.10 08:00,0,0,2.53,0,0,0.96562,0.96582,0.96559,0.96578,0,0,-766.02,0,0,1:00,-766.02,0,0,0,-191.51,0,0,0
2020.04.10 07:00,0,0,0,0,0,0.96528,0.96601,0.96492,0.96562,0,0,0,0,0,0:00,0,0,0,0,0,0,0,0
2020.04.10 08:00,0,0,0,0,0.03,0.96562,0.96601,0.96559,0.96588,0,0,0,0,-6.85,1:00,0,0,0,-6.85,0,0,0,-1.71
2020.04.13 00:00,0,0,0,0,100.85,0.96551,0.96552,0.96551,0.96552,0,0,0,0,-6.85,17:00,0,0,0,-6.85,0,0,0,-1.71
2020.04.13 01:00,0,0,0,26.71,74.15,0.96487,0.96537,0.96452,0.96533,0,0,0,1080.35,5111.28,18:00,1008.61,2362.77,4353.27,6191.63,252.15,590.69,1088.32,1547.91
2020.04.13 02:00,0,0,0,57.91,42.94,0.96533,0.96586,0.9653,0.96579,0,0,0,14242.57,11576.08,19:00,6529.07,12713.83,18789.07,25818.65,1632.27,3178.46,4697.27,6454.66
2020.04.13 03:00,15.35,0,0,7.77,77.74,0.96579,0.9661,0.96546,0.96604,3128.26,0,0,1626.96,22348.24,20:00,6562.64,12851.45,19281.2,27103.46,1640.66,3212.86,4820.3,6775.86
2020.04.13 04:00,0,0,0,0,100.85,0.96608,0.96625,0.96513,0.96595,0,0,0,0,37730.51,21:00,11319.8,15638.78,25796.1,37730.51,2829.95,3909.7,6449.02,9432.63
2020.04.13 05:00,0,0,0,0,100.85,0.96596,0.96658,0.96591,0.96634,0,0,0,0,61042.64,22:00,14465.04,30889.83,46459.94,61042.64,3616.26,7722.46,11614.99,15260.66
2020.04.13 06:00,0,0,0,0,100.85,0.96635,0.96674,0.9653,0.96539,0,0,0,0,37375.19,23:00,13605.72,25655.52,32997.16,37375.19,3401.43,6413.88,8249.29,9343.8
2020.04.13 07:00,0,0,0,32.2,68.65,0.9654,0.96563,0.96509,0.96525,0,0,0,1305.94,3238.27,0:00,1209.15,2451.77,3487.98,4544.21,302.29,612.94,872,1136.05
2020.04.13 08:00,0,0,0,100.85,0,0.96526,0.96547,0.96477,0.96544,0,0,0,1684.84,0,1:00,224.05,561.96,1200.52,1684.84,56.01,140.49,300.13,421.21
2020.04.13 09:00,6.85,0,34.26,56.24,3.49,0.96544,0.96544,0.96289,0.96333,-528.83,0,-10434.46,-936.86,7.94,2:00,292.58,-475.09,-4350.88,-11892.2,73.15,-118.77,-1087.72,-2973.05
2020.04.13 10:00,4.49,0,69.85,26.52,0,0.96334,0.9649,0.96295,0.96445,-703.09,0,-29830.96,-2033.56,0,3:00,-11586.65,-22451.34,-30666.69,-32567.61,-2896.66,-5612.84,-7666.67,-8141.9
